address,block_number,name,symbol,decimals,totalSupply,label
0x0efaf8081a332e6744755c08d0f4698840d01aeb,15794473,THE Space Doge,THESD,8,10000000000000000,1
0x7d56ec4d5e6d6dc709e0931d4b437394d362fa36,16095021,FAFO INU,FAFO,9,100000000000000000,1
0x0d96ccea237f30aa451f96796994055d78202463,15755529,Dubz Gaming,DUBZ,18,1000000000000000000000000000000,1
0x6417624f31eff985a1595c964ff95d844ca2fb07,15348469,Hyakuretsu Ken,Atatatata,9,1000000000000000000,1
0x45887c4a6d7f1347fa823dfb3e5a6a342cf5808d,10567310,XAMP DeFi,XAMD,18,10000000000000000000000000,1
0x9d71071f219070b4834055ed3d1d9e4ce7a9b058,15814789,God of Immortality,VITALITY,18,22000000000000000000000000000000,1
0x68a80941cd9585b3b6c3e4e92b099f7314762cb8,16127163,REVIVAL,REVIVAL,9,420000000000000000000000000000000,1
0x6641f4e281fa213e9ea6c99f614c7bfba38ac07c,15166194,Can u make it,CUMI,9,100000000000000000000,1
0x9b6cde90945fc1fef84af3be3824e9e3f718dcc0,14040124,Cryptocurrencies,1=7,9,1000000000000000000000,1
0xd6d4d0db46b916296241a23443d384429b04db20,10712156,Capital Finance,CFE,18,25000000000000000000000,1
0xb05f71dbb4d43c81b94b80855c210ac260b4d11a,12980975,Doggo Quest | t.me/doggoquest,DOGGO,9,1000000000000000000,1
0x21401a7dc2aacd06618235e8e3792e849c74be9c,15536172,Kamiochi Orochi,Orochi,8,100000000000000000,1
0x3f4f51d65014224b12e8302efc84f5bf246e40ce,15866986,Happy Halloween,Halloween,9,1000000000000000,1
0xebff21d474a7db286c008c35d1da480151cd7c19,12917977,Bonzai Token,BONZAI,9,100000000000000000000000000,1
0x0cd6823f8c57bb087855144e8f7bfd38dd9f9e72,12987056,Shibkorea | t.me/Shibkorea,Shibkorea,9,1000000000000000000000000000,1
0x9301ce800fd473800c20eee9b9d0af047102c5ff,13403535,BabyKuma Token,BabyKuma,9,10000000000000000,1
0x28e379765f7432b8f08d44a8abf329483bc9d0b2,15863197,Halloween Doge,Hdoge,9,10000000000000000,1
0xab3edbbb5d2ee1e94f9842d0d10fc9135dc4cc7b,15380888,Mothership,HOPE,18,1000000000000000000000000000,1
0xc071f94f7bbd74cf765ed6a6cda40853b5a334ec,16330024,OLD ISHI,OI,9,1000000000000000000,1
0x5aded087c6a438a3f3db7efd5024478b15c1e6ce,13427990,The Last Airbender,$Airbender,9,1000000000000000000000000,1
0x465c9864a79189debfa2f5b26c079a28b1d7576d,14356546,CatGirls,$CGRLS,9,10000000000000000,1
0x40075f62f5175c15402dbebf6db8b23042d48834,15810785,Neuralink show,Neuralink,9,1000000000000000,1
0x73fbfd424f0c1c8f7a84fdbb800a26d5d72fdbec,15276570,Obelisk,Ra,18,21000000000000000000000000,1
0x241c87e2352481a25a7499b21051ae03c80b58ee,14812918,PIGEONEINU,PNNU,18,10000000000000000000000000000,1
0xa529f31f9b2f0c9500b99f6b64f9d27225be6d2e,15734920,Bear Coin,BC,9,10000000000000000,1
0xf01279635093e5dfd05b1ae6fc8f49e2b893af32,10722226,HAO,HAOWA,18,10000000000000000000000000,1
0x3b6399a9c7b0d8530491f9c157dffecb00f112c5,16268272,Ambros Network,AMBROS,18,10000000000000000000000000000,1
0xd8ecd7fc8f358eb051412c18fc7b0c6e2f52148a,10637126,Serum,SRM,18,161000001000000000000000000,1
0xedd9fa10154c964369c827533bac2f5e63ed9bfe,16335252,OLD SHIBA COIN,OSC,9,100000000000000000,1
0xe9b60aea214e1a7f3f5e5347a89626ab9f7ce7cb,11057674,yearn finance pie,YFPIE,18,10000000000000000000000,1
0x2fb7716c6e01885f4427f2fc20f13b33a2eaba52,16061982,MemePad,MPAD,9,1000000000000000,1
0xa3acffa38d4f3addc3375a4c32bd816d0f48777f,15368559,DOGE CHANGE,CHANGE,18,1000000000000000000000000000,1
0x445d079541e1c312a28112be90cd816054c7b29d,15382248,Ryoshi Masterclass Of Larp,MOL,18,1000000000000000000000000000,1
0xf7146161e1c7925bc0f2d1045acb01496c5c60b4,12573828,Vigo inu,VINU,18,2000000000000000000000000000,1
0x5adebc3d6b74cc80ee1d9b7a093933d0559465b0,11120447,COREZONE,COREZ,18,500000000000000000000,1
0xb89ccf28d113d0104cac4f1e9b453669c25ef7c8,9964177,BITLINK,BITL,8,1000000000000000000000,1
0x97c8a8f6f90da7e535b66f6c4c3411ac7c8a2a53,13682191,Elons Capital,ElonsCapital,9,1000000000000000,1
0x964f8dcc35d3e67a1cb08b5a480d06c66c78fdbb,15507696,JIMMU,EMPEROR,9,1000000000000000,1
0x20a0360d61df33606db8ccda2449a42353a1e825,15843350,Club Penguin,$PENGU,9,100000000000000000000,1
0xfd5ec4eefb3a610f67cb7a66fd2ae31182cc833d,10747160,Yang v3,YANG,18,46000000000000000000000,1
0xef82f6cfc20a6a6c8f8fb0a09f355521af5499ea,15778289,Kami Shiba,KAMI SHIBA,18,1000000000000000000000000000,1
0x7a5515ddb551dafc774723bb82e1e2bdde45f28a,10584634,Rocket Finance,RFI,18,5000000000000000000000,1
0xc9b652e64a5d615dcd858bb375886bdf71b42e3e,15119654,DoraemonInu,DORA,9,100000000000000000000,1
0x5cad326b165657d87e8e4c091f2bcad9b1ca67ca,14729823,StarDAO,⭐,9,1000000000000000000000,1
0xc2e1581f93167d4bd0e6ff5c592d34fdc8702996,15624746,ROACH,🪳,9,1000000000000000,1
0x67c676ae4473d47f0668e61e88033cd26a70d815,15866904,Pumpkin Ghost Doge,PGD,8,10000000000000000,1
0x4f3705fa05178e93ba758088116c65cd785371f4,13545704,SHKOOBYPUP,SHKOOBYPUP,9,1000000000000000000,1
0x9d696745805c4be82250952f000bb772b54a09b1,16205673,Criptozo,CRIPTOZO,18,1000000000000000000000000000,1
0xb1bf57d9e07d4cfa1ac475ad751ecee609ac4c89,15777874,Al Janoub Inu,Janoub,8,4000000000000,1
0x84aea03883c9f96604d51c0e0c57a09068f57550,12659030,Score Coin,SCORE,9,1000000000000000000000000,1
0x63dec47fa903b1d3620a285229ab85ec23f17d04,12375481,Millenium Falcon,MILF,9,1000000000000000000000,1
0xd10e101bd5e8ccac4185e583d2fe76d4e3d9696e,15105188,The God and Water Rain,SUIJIN,18,1000000000000000000000000000,1
0x53b359db67550bc3a9c0e264fc46b9b2315d350c,13319409,Optimus Token,Optimus,9,100000000000000000,1
0xce9aff73ed23d70d64a34b4e02c4908b27c18ec1,10859422,BobaToken,BOBA,18,1000000000000000000000000,1
0xa2117c022aba052bbfd31c15d13cc887582ac7b9,15848742,YE INU,YE INU,9,1000000000000000,1
0x5c923ad85bcf35f743816252709af8bfe77d9b93,10572889,SHlBA,SHLB,18,500000000000000000000000000000000,1
0x906710835d1ae85275eb770f06873340ca54274b,12609860,Ethereum Cash,eCash,9,1000000000000000000000,1
0x360c44c03ddd6e86e4feff3e6177edd1d0e78adb,15421796,Ouija,OUIJA ,8,100000000000000,1
0x3edaf648c3fd69f8a0848c63744a86f3373f0b44,15387769,SHIKA,SHIKA,18,1000000000000000000000000000,1
0x7de8a2e5871f4ff1bc57f10c8e8cac9e19018029,15636291,SAFE COOLIO,SAFECOOLIO,9,1000000000000000000,1
0x8e7fda88aa4723cba5385bf60917e1c05ea98341,15501047,ALreus,AL,9,1000000000000000000,1
0xb6551a5b183453b253512218fde84a542992247b,10671982,Subversion Protocol,SBV,18,20000000000000000000000000,1
0x8f79f39919810afaf20902ae3b69aa8bb96d4c94,15678269,ShibaX,ShibX,9,1000000000000000000,1
0xe74d80441d9974f484555b003f9c51f67f4d082e,14712325,I,The Phantom Menace,18,1000000000000000000000000000,1
0x1c8606b91a169d0bb3dd3ae0471a2c8a1b10b042,14611639,MadApecoin,MADAPE,18,100000000000000000000000000000,1
0x3b5e2df103a037509dcc8430e5462b9cd8f75f49,16113721,GEMX,GEMX,9,10000000000000000,1
0x2a756816ee734099b6690281858577d5cf0da384,15846476,Let the good times roll,$ROLL,9,1000000000000000000,1
0xf31f513d6974b4e9cd148a8d06d3f7f16a865e22,15596396,Ame-no-Minakanushi,SUKAI,18,1000000000000000000000000000,1
0xbf1a0e17350e2096bfc1b1cfcea2bd97cd98948b,10925276,CryptoLocally Token,GIV,18,1000000000000000000000000,1
0xb48bb9827cb1b4eb7d3357f8d0c7971a00fcee35,15841985,MacKenzie Inu,KENZINU,8,100000000000000,1
0x3652ede4125ad7cc2ec87f1a9d63b91d54db15bf,16033560,Penalty Inu,Penalty,9,100000000000000000,1
0x6488fe7e6076b004ca832d9b6025f9006d2605c6,13402738,tatsumakiToken,tatsumaki,9,10000000000000000000,1
0xa62704d4220bce762befed06555c4dda32d86edd,16316946,Altcoin,AC,9,1000000000000000000,1
0xa362eb3bf9634bd01b4026662147c775421c3ce2,16274890,TSUKA HOKKAIDO,TSUKAIDO,9,1000000000000000000,1
0xe502d7a203427499cdb78de7d06a9c7d4d51a447,12647562,Yua Inu,YUA,18,100100000000000000000000000000000,1
0xf733e1ca52bb3a8e04af3f4ea6f6ba5cdc31d370,12479699,Mishu Inu,MISHU,9,100000000000000000000000000,1
0xe23c5a56dee9ebde8de4b71c15590332413bf6ae,15693646,The Eyes,GANSEI,18,2000000000000000000000000,1
0x4da08a1bff50be96bded5c7019227164b49c2bfc,13315835,Mononoke Inu,Mononoke-Inu,9,1000000000000000000000000000,1
0x81631b456579c7fc11838371e320a0b16026ed28,13289358,FUD Inu,FUDINU,9,1000000000000000000,1
0x2b18d710c3764a632bf52bfddccf8f7da3b9531c,14326628,What Are You Doing Step Bro,STEPBRO,18,1000000000000000000000000000,1
0xf738beb986762e31ee0fb6e5208ea674766376df,15522191,Shunsui,Kyōraku,18,100000000000000000000000000,1
0xd6d3a4ce3f460e342cd8ea94de706ec6472dc2e1,16079432,Blue Eyes White Dragon,BEWD,18,1000000000000000000000000000,1
0x6d360105fbf001f0cf6602ca47aafd15f63ae58c,11158375,Sawa.Finance,SAWA,18,40000000000000000000000,1
0x81680f673d791908ea2cbe2f05c6f2aaf8ffa7ff,14653156,Draken Inu,Draken Inu,9,1000000000000000000,1
0xa67e7076294ff51b41343cd434d63c840b6df8f1,12698653,Trex Exchange,TREX,18,1000000000000100000000000000000000000000000,1
0x3ef152d58a244aaac9d29c3ddaec062163718367,15829106,Censorship,Censorship,9,1000000000000000,1
0xbd62c53625b26b76e8a5f04dcb9dc4e7cd5e8db8,15886233,Heart Of Defi,HEART,9,1000000000000000000,1
0x0d9eafadd298d8f48fbe6f4275f587f5a9251e37,10712780,CopyTradeCoin,CTC,18,10000000000000000000000,1
0xeaad898afc2719598737483e38fb4b9098dcb2f2,15806484,Cheemstalik,VHEEMS,9,10000000000000000,1
0xfc732176df82f4a8c330ca8e435baa3146f36958,13353818,Frunpy,Frunpy,9,100000000000000000000000,1
0x1fdb17a326bea05035cd88b5b16042127437dffa,15576906,Proof of AI Elon,AIELON,18,1000000000000000000000000000,1
0xf48ee5279cd53805037a73f9d9afe3675fd3bd45,15844255,The bird is freed,FREETHEBIRD,9,100000000000000000,1
0x626d96d9e9c07a76b71203559a7fe579254433a0,12751658,Yoshi World | t.me/yoshiworld,YOSHI,9,100000000000000000000000000,1
0x14195ce1010d05227bd78d5da62955eeb9079b69,16147179,CZ INU,CZ,9,1000000000000000000,1
0x78964b7a6ae1f699612b483b008e435955e42891,15866989,HAPPY HALLOWEEN,HAPPYHALLOWEEN,9,1000000000000000000,1
0xeecc8bf36f6e34efcad5a2086e58a4e0c63f1024,15057123,ShampooCat,SPC,9,100000000000000000000,1
0x118d04a3e91a2e6c0cc269c541364be20f13d1e7,16354572,Hacker Typer,HACKER,18,100000000000000000000000000,1
0xe66b1d159e8ba3be1512ac6fca52952618a7fc22,15621230,Do Kwon Tsuka,DoKwon,9,100000000000000000000,1
0x5d1f26c697086acef4cfd0876077f4cdeee14179,12397206,Elon Night,Elon Night,9,100000000000000000000000000,1
0x58f5f48156bff8f083460526612be90016a1ea5d,10661528,NewDao.finance,NDF,18,4000000000000000000000000,1
0x0e5f5c771770639102739d3a04e4684c497a3e25,10397456,1Bitcoin,1BTC,18,21000000000000000000000000,1
0xc6d09c4e3f77eeb841f5869b0dc32f9ce9dbd788,15665165,Dwagon Lord,LordTsuka,18,1000000000000000000000000000,1
0x2f9f363685ffecc8d7bed0486d8c2b21232bdc5a,13561112,Adventure Inu,ADINU,9,1000000000000000000000,1
0x206fad807b89152e1c29749690ea27c450a08bab,16059154,Dont Waste My,$TIME,18,1000000000000000000000000000,1
0x6ab3068d81c3f8a75ade7c10340a1dc61acdeacb,16075588,1000X,1000X,8,100000000000,1
0xec1dd86e568616b302bb3a8832257943d988b13c,15918983,METAKishu Inu,METAKishu,9,100000000000000000,1
0x3f741d4e1279ac292281573cb8def98ab408af6c,12725632,Pluton Finance | t.me/plutonfinance,PLUTON,9,100000000000000000000000,1
0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa,10953732,PolkastarterToken,POLS,18,100000000000000000000000000,1
0xe20e367792fcf3c66e480245657e75471db7fefe,15039180,Teh Mayan Prophecy,MAYA,9,1000000000000000000000,1
0x6c988c14aed371e29072915866cb4b5cfc60e838,15307519,Recycle Ethereum,♻️,9,100000000000000000000,1
0xe3ccd064ec73842452f8fcab4d1af99cc38df058,16044304,ELONSCUM,ELONSCUM,18,100000000000000000000000000000,1
0x0c21ff6e3a2315401805ee10b991c14d9910fe8d,11150731,FIFO.Finance,FIFO,18,80000000000000000000000,1
0x65729d9f75ad19a734c9c7d917cff71fffb57886,15436139,Original Shiba,OG SHIBA,9,10000000000000000,1
0xeab8e2293f42390d9f11f2c24c07cf8964e26580,14695446,WAGMI,WAGMI,18,1000000000000000000000000000,1
0xc1cd34fcdffb9ad0e7a28de66cdb2396369ece9e,12591713,Kitsune,KIT,18,1000000001090000000000000000000000000000,1
0x3f164a731d8e763262a78e526c6517523403eefa,10631983,QuickDex Protocol,QDP,18,80000000000000000000000,1
0xf0eef227f359b94ae1e376b00efcbe1e80180c8d,10252754,ETHPrivateX,ETHPX,18,1000000000000000000000000,1
0x3abcc63441c5cd809f77c26b4925b33e49642cde,15804207,Fate Of The Earth,EARTH,9,1000000000000000,1
0xeb4873f26df02d21ca88bf8c8a1226f87bbbdf58,15309087,Emotions,EMOT,18,1000000000000000000000000000,1
0x26391c3a67a4d59c71d99dcdeb2ff0d9b206b37f,15403691,Duck Norris,$RANGER,9,100000000000000000000,1
0xa10906acca3a36d3297062f5fce4cd6211b9186a,14399802,Archon Inu,ARCHONINU,9,875920000000000000000,1
0xec83314d7883b516f70077b9821913fb3b0d15f6,16056884,Killua Inu,Killua,5,1000000000000000,1
0x53bbe5c442c987f1f5a12edbdb99561149feeda4,15271268,OG LAMBO,LAMBO,9,1000000000000000000,1
0x6cd9388ada3ab7465281a0cc86b7952a45233e9a,15545461,Minamoto No Hiromasa,Hiromasa,8,100000000000000000,1
0xb8b875e098dc1ae922782b145bf5af94963da0d3,15209673,MONKEY,MONKEY,9,100000000000000000,1
0x38d2afdc58aa0db656d23f7a93d0b29d084ab566,10764175,Rambo.Finance,RAMBO,18,50000000000000000000000,1
0xe3a9e2087aebd1c66ee1f31704eb7c0f7ebf8f7c,12758690,Ethereum 2.0 Classic,ETC2,6,210700000000000,1
0x04f118dde1441889dc485cb614049e7e9f4dd16b,11263713,QVANT.FINANCE,QVANT,18,12000000000000000000000,1
0xdc63ee612b7787b9573f8de7c29fc1ddbac8ba31,11064402,www.lite.financial,LYFI,18,500000000000000000000,1
0x3bb212f023bbe0878adb6d97c0337cc16939824a,12468924,JackInu,JRINU,9,100000000000000000000000000,1
0x9164edb07329f9c9496579e3a9b53d7b92b2c056,14917047,The All Seeing Eye,NEFERTITI,9,1000000000000000000000000000,1
0x18110bd98f1c426e906e148b0f22378f018809ff,15119830,NobiInu,NOB,9,100000000000000000000,1
0x5c35ddc30f7fa9ca7804b88e01e67d88eff16dcd,14849123,UWU INU,UWU,18,100000000000000000000000000,1
0x93210d452f3cb845e24d25062c26ad3e482ccbec,14604813,A Farmers Dream,FAW,9,1000000000000000000000,1
0x94cb0b104a75c7352dbbc1a460ab7179ad0bb310,10479521,Huracan Finance,XRE,18,999798232285826577756377440,1
0x12562d7b9c09ea5970300dc7538bac637efb3489,14621290,The Devils Lettuce,TDL,18,1000000000000000000000000000,1
0xdbcad89ddd67563e1a11a3a7708469989663f6a1,15103290,Funky Monke,FM,9,10000000000000000000,1
0x3ed150ff0d85ecc08fe4502fe607b33a032301d3,16313517,SHINNEN,SHIN,18,2222222222000000000000000000,1
0x5b864c9a79d91b0d35cd12b4296055d0cdd8c51a,15081830,MasterFlog,MasterFlog,9,100000000000000000000,1
0x61a38b4ce2ab0bb29a4cdc65a7dbe26a18b2ef11,14704884,MrFox,MrFox,9,100000000000000000000,1
0x9b65b790e3281a1e7a6b3186b39e3254cee96169,10696610,Lola Protocol,LOLA,18,1000000000000000000000000,1
0x3a652b2caa9ca92a32154ffd1c33df888d723bca,15797955,$X,$$X,9,1000000000000000,1
0x5abf393af0ce8c5837e4cfb923fc3cdf7c07b95b,15064198,Frog And Roll,FNR,9,100000000000000000000,1
0xbcd5b27307ab596f6aaec59d014dbe846f878704,15681990,Super AI Finance,SuperAI,9,10000000000000000000,1
0x5d64dae641d2a79ca59ba1a5908f5118268f9cb7,15152339,DOGE DOGE DOGE,DDDOGE,9,1000000000000000000000,1
0x081d9a48e3c238cc30b60c5274697dac2040063c,10697406,TigerSwap Protocol,TSP,18,100000000000000000000000000,1
0x556da2797c3227931e8098138456cb1f69367feb,12755643,Punani Ape, $PUN,18,10000000000000100000000000000000000000000000,1
0x7f79e99394ab3eb8a6d1b0db4e2dbd7a46240aca,15584185,Web3Gold,Web3Gold,18,1000000000000000000000000000,1
0x15b20a5c2009bf1d131fc7d1816034f111c0fa2f,10231808,Magma Chain,LAVA,18,1000000000000000000000000,1
0xe81ddcf2384e217be1b179e58903d821bd27d672,15719503,Hallow Inu,HINU,18,31000000000000000000000,1
0xbac0056c0bfaf024967017aafc07c3875f6a1e6f,16028858,FUD WARS,FUDWAR,18,1000000000000000000000000000,1
0xc688c9d8b28e8f278cf0e88d6757b6eeb9c7ef72,15648577,KINGKWON,KINGKWON,18,69000000000000000000000000000000,1
0xdbeab8f605a35b1bca0b835529865e7466213d4c,12360161,Freedom,Free,9,100000000000000000000000000,1
0x9c8ae1bb3dcae868f45e32bc9b33e877a4bee458,15532439,Shila,SHILA,18,1000000000000000000000000000,1
0xf540e6a329ee590dd7dba94e47f329264f933c6e,15472296,IZANAGI,$IZANAGI,9,100000000000000000,1
0xd596c4fee893e8ebe1de3e4af7eae9b1e65bdb8d,15230069,RATHIAN,RATHIAN,9,200000000000000000,1
0xe8cd3ef0ff34877a5c17192041e63592c0b3f87e,15132733,Shibawonko,SHIBAWONKO,9,1000000000000000000,1
0xb101f0eb0a8938769d4c3fd4f933b11627ca3768,10853599,ChainLink Token,LINK,18,1000000000000000000000000000,1
0x10d491a0bbca0cbac7129d8abc12646f7b1a574b,14799028,MoonHorse,MoonHorse,9,100000000000000000000,1
0x54bbbcf29f465477153f772f0c296bebbf0a8b81,10797607,Coingecko,CNGK,18,10000000000000000000000,1
0x714d87cf6bb92c049e1cefc51b5a8fe348d6d686,14591748,Gotenks,Gotenks,18,1000000000000000000000000000,1
0x728d7b2ad842a5cac9ee44897fd597af3b77badd,15397450,Ungeheuer,ABYSS,18,100000000000000000000000000000000,1
